feature;correlation;abs_correlation
rolling_mean_12_scaled;-0.26400789085706283;0.26400789085706283
ewm_mean_12_scaled;0.23317671275254254;0.23317671275254254
ewm_mean_6_scaled;0.15026849254892094;0.15026849254892094
last_year_median_3_scaled;0.12555549342799752;0.12555549342799752
nonzero_rate_12;-0.1240701743436052;0.1240701743436052
log_scale_factor;-0.11684197668253922;0.11684197668253922
nonzero_rate_6;-0.1139276940048539;0.1139276940048539
time_since_last_spike;0.11197139783815938;0.11197139783815938
rolling_mean_6_scaled;-0.11003278163726406;0.11003278163726406
nonzero_rate_3;-0.1046613362963223;0.1046613362963223
rolling_median_12_scaled;-0.08844720730623094;0.08844720730623094
is_nonzero_lag_0;-0.0861031937062089;0.0861031937062089
spike_prior_median_6_scaled;-0.0819621196253308;0.0819621196253308
rolling_median_6_scaled;-0.08133467760555543;0.08133467760555543
rolling_mean_4_scaled;-0.0807014656698341;0.0807014656698341
last_year_mean_3_scaled;0.07497647021973593;0.07497647021973593
rolling_median_4_scaled;-0.07368297116599712;0.07368297116599712
rolling_mean_3_scaled;-0.06723722820130379;0.06723722820130379
rolling_iqr_12_scaled;-0.06382792097535886;0.06382792097535886
ewm_mean_3_scaled;-0.06048238654269269;0.06048238654269269
rolling_median_3_scaled;-0.06017484607270336;0.06017484607270336
rolling_max_12_scaled;-0.054870995332706354;0.054870995332706354
rolling_std_12_scaled;-0.05172709272614421;0.05172709272614421
spike_prior_mad_6_scaled;-0.051646536265174084;0.051646536265174084
rolling_max_6_scaled;-0.05086909380518293;0.05086909380518293
rolling_min_3_scaled;-0.04741148603418458;0.04741148603418458
rolling_max_4_scaled;-0.046599000496525926;0.046599000496525926
rolling_min_4_scaled;-0.04625439244051067;0.04625439244051067
rolling_iqr_6_scaled;-0.045791829325776606;0.045791829325776606
rolling_max_3_scaled;-0.04569422443611255;0.04569422443611255
lag_5_scaled;-0.043162774611105084;0.043162774611105084
lag_2_scaled;-0.04284767859307459;0.04284767859307459
rolling_min_6_scaled;-0.04215741271792267;0.04215741271792267
lag_1_scaled;-0.04128917826715547;0.04128917826715547
lag_11_scaled;-0.04108239374832945;0.04108239374832945
rolling_iqr_4_scaled;-0.0401902599670808;0.0401902599670808
rolling_std_6_scaled;-0.03951710557629647;0.03951710557629647
spike_rate_12;-0.037848389769129964;0.037848389769129964
rolling_min_12_scaled;-0.03535542935540215;0.03535542935540215
warehouse;0.03438772626642652;0.03438772626642652
rolling_std_4_scaled;-0.03240640767212439;0.03240640767212439
lag_0_scaled;-0.031266220958193425;0.031266220958193425
rolling_iqr_3_scaled;-0.030968389389276187;0.030968389389276187
rolling_std_3_scaled;-0.029553860099876404;0.029553860099876404
spike_rate_6;-0.028412825736938596;0.028412825736938596
fourier_cos_3;-0.023713819079437228;0.023713819079437228
fourier_sin_1;0.022025758861236755;0.022025758861236755
spike_rate_3;-0.021155126814892157;0.021155126814892157
last_year_median_3;-0.01959962404127376;0.01959962404127376
ewm_mean_12;-0.01957867504198646;0.01957867504198646
spike_prior_median_6;-0.019382379559797228;0.019382379559797228
rolling_mean_12;-0.019379286886388635;0.019379286886388635
scale_factor;-0.01937590449037933;0.01937590449037933
ewm_mean_6;-0.01899446621127032;0.01899446621127032
rolling_iqr_12;-0.01889889503445098;0.01889889503445098
rolling_mean_6;-0.018897558651570782;0.018897558651570782
last_year_mean_3;-0.018882836607161165;0.018882836607161165
rolling_median_6;-0.018696598967064687;0.018696598967064687
rolling_median_12;-0.018693890653045026;0.018693890653045026
spike_prior_mad_6;-0.01842885033487076;0.01842885033487076
rolling_mean_4;-0.018401586237253683;0.018401586237253683
rolling_median_4;-0.018376826714140353;0.018376826714140353
rolling_mean_3;-0.017886992201198125;0.017886992201198125
ewm_mean_3;-0.017776710905469072;0.017776710905469072
rolling_median_3;-0.0177745354775458;0.0177745354775458
quarter_of_year;-0.01776738525677587;0.01776738525677587
rolling_min_3;-0.017465944350722875;0.017465944350722875
rolling_min_4;-0.01733874530810287;0.01733874530810287
rolling_min_6;-0.01701669276174549;0.01701669276174549
week_of_year;-0.01692066429516375;0.01692066429516375
rolling_min_12;-0.016496161652855196;0.016496161652855196
rolling_iqr_6;-0.01640420582185455;0.01640420582185455
lag_11;-0.01603312229779576;0.01603312229779576
lag_5;-0.015799929010698738;0.015799929010698738
rolling_max_3;-0.015509088638535791;0.015509088638535791
rolling_max_4;-0.015480077857163831;0.015480077857163831
fourier_cos_1;0.015438556110894699;0.015438556110894699
lag_2;-0.01539245521615518;0.01539245521615518
lag_1;-0.015373847913260383;0.015373847913260383
rolling_max_6;-0.015310579357720856;0.015310579357720856
lag_0;-0.014935326250065654;0.014935326250065654
value;-0.014935326250065654;0.014935326250065654
rolling_max_12;-0.014908647715279652;0.014908647715279652
rolling_iqr_4;-0.013958356861536425;0.013958356861536425
rolling_std_12;-0.013812065469324843;0.013812065469324843
month_of_year;-0.013509630479428651;0.013509630479428651
momentum_ratio_1;-0.012638878739754923;0.012638878739754923
rolling_std_6;-0.012228108820444629;0.012228108820444629
is_spike;-0.011838417819369422;0.011838417819369422
rolling_std_4;-0.011368145413738245;0.011368145413738245
last_year_ratio_3;-0.011292962838936825;0.011292962838936825
rolling_iqr_3;-0.011032822765442528;0.011032822765442528
rolling_std_3;-0.0106148672898421;0.0106148672898421
fourier_sin_3;-0.010168440610753202;0.010168440610753202
fourier_cos_2;-0.009780302296324813;0.009780302296324813
code;-0.008256127347194862;0.008256127347194862
sample_weight;-0.0069217707916527085;0.0069217707916527085
fourier_sin_2;0.00689166351433214;0.00689166351433214
rolling_slope_3_scaled;0.005943485742649094;0.005943485742649094
momentum_diff_4_scaled;0.005119682437201104;0.005119682437201104
momentum_diff_1_scaled;0.005061651243981338;0.005061651243981338
target_t_plus_1;-0.005018692368952191;0.005018692368952191
momentum_ratio_4;-0.004632502516274991;0.004632502516274991
rolling_slope_6_scaled;0.00442223670200353;0.00442223670200353
rolling_slope_12_scaled;0.003796617618697712;0.003796617618697712
