feature;correlation;abs_correlation
rolling_median_12;0.732386780754085;0.732386780754085
rolling_median_6;0.7312169337500536;0.7312169337500536
spike_prior_median_6;0.7285378766073767;0.7285378766073767
rolling_median_4;0.7246245930924184;0.7246245930924184
ewm_mean_12;0.7229943129250117;0.7229943129250117
rolling_mean_12;0.7192111644079502;0.7192111644079502
scale_factor;0.7192111128352919;0.7192111128352919
rolling_min_6;0.7117006204002808;0.7117006204002808
ewm_mean_6;0.7103856062126493;0.7103856062126493
rolling_mean_6;0.7094256592280463;0.7094256592280463
rolling_min_4;0.7081483244792971;0.7081483244792971
rolling_min_12;0.7036252073818254;0.7036252073818254
rolling_median_3;0.699913256160463;0.699913256160463
rolling_mean_4;0.6973844908858173;0.6973844908858173
rolling_min_3;0.6926965267195219;0.6926965267195219
ewm_mean_3;0.6801518356610541;0.6801518356610541
rolling_mean_3;0.6798671314363317;0.6798671314363317
last_year_median_3;0.6534466324102128;0.6534466324102128
rolling_iqr_12;0.6332621481205216;0.6332621481205216
last_year_mean_3;0.6150207202581178;0.6150207202581178
lag_0;0.6009796446898324;0.6009796446898324
value;0.6009796446898324;0.6009796446898324
lag_2;0.5959999756577816;0.5959999756577816
spike_prior_mad_6;0.5803007482248673;0.5803007482248673
rolling_iqr_6;0.5742792328594196;0.5742792328594196
rolling_max_3;0.5644903787037995;0.5644903787037995
lag_5;0.5616796006199607;0.5616796006199607
lag_1;0.5512535506575963;0.5512535506575963
rolling_max_4;0.5424907976382862;0.5424907976382862
lag_11;0.5286477566822783;0.5286477566822783
rolling_max_6;0.5122887276312561;0.5122887276312561
rolling_iqr_4;0.47018438393848516;0.47018438393848516
log_scale_factor;0.46369670641545635;0.46369670641545635
rolling_max_12;0.4630681013095429;0.4630681013095429
rolling_std_12;0.4300651349677443;0.4300651349677443
rolling_iqr_3;0.3953197791241193;0.3953197791241193
rolling_std_6;0.3924565578379594;0.3924565578379594
rolling_std_4;0.37744974403832804;0.37744974403832804
rolling_std_3;0.37572893083050507;0.37572893083050507
